osmid,y,x
7499947738,10.7871301,106.7122419
7499947739,10.7870957,106.7122604
7499947740,10.7870612,106.7122992
7499947741,10.7870557,106.7123435
7499947742,10.7870739,106.7123712
7499947743,10.7871029,106.712386
7499947744,10.7871356,106.7123841
7499947745,10.7871755,106.7123694
7499947746,10.7872046,106.7123638
7499947747,10.7872538,106.7123598
7499947748,10.7872817,106.712251
7499947749,10.787267,106.7122482
7499947750,10.7872384,106.712361
12945858302,10.7716378,106.7105469
12945858303,10.7721613,106.7106437
12047359825,10.7848759,106.6993556
6757556266,10.7706593,106.7012444
11367882859,10.7927632,106.7047232
7556046970,10.7677745,106.7061379
7556046971,10.767789,106.7061771
6665150612,10.7677245,106.7141429
6665150614,10.7685893,106.7135034
7556047123,10.7680295,106.7067103
7556047124,10.7683404,106.7065547
7556047125,10.7685895,106.7061407
7556047130,10.7685129,106.7064631
7556047136,10.7679228,106.7064738
7556047158,10.7682805,106.705984
7556047159,10.7685275,106.7058478
7556047160,10.7685354,106.7058512
7556047161,10.768542,106.7058726
7556047162,10.7685631,106.7059726
7556047163,10.7685756,106.7058673
7556047164,10.7685887,106.7059115
7556047165,10.7686085,106.706
7556047166,10.7686296,106.7061288
7556047167,10.7686665,106.7063266
7556047168,10.7685919,106.705859
7556047169,10.7686296,106.7058358
7556047170,10.7686441,106.7058646
7556047171,10.768675,106.7059873
7556047172,10.7687047,106.7061362
7556047173,10.768737,106.7062911
7556047174,10.7685512,106.7057687
7556047175,10.7685947,106.7058653
7556047176,10.7686368,106.7060067
7556047177,10.7686599,106.7061234
7556047178,10.7687073,106.7063634
7556047179,10.7683689,106.7065381
7556047180,10.7686312,106.7064067
7556047181,10.7687468,106.706344
7556047182,10.7686783,106.7063776
7556047183,10.7686985,106.7064201
7556047184,10.7687217,106.706465
7556047185,10.7687425,106.7065075
7556047186,10.7685479,106.7066056
7556047187,10.7687594,106.7064989
7556047188,10.7684392,106.7065995
7556047189,10.7687442,106.706454
7556047190,10.7683557,106.706588
7556047191,10.7687403,106.7063997
7556047193,10.7683851,106.7065736
5109064045,10.7676784,106.7076999
9784795510,10.7900083,106.7270326
11540373964,10.7768402,106.6998817
8370528735,10.7804288,106.7206523
8370528736,10.7800665,106.7208384
8370528737,10.7800512,106.720877
8370528739,10.7801379,106.7210487
8370528740,10.7801743,106.7210594
8370528742,10.7804574,106.7209219
8370528743,10.7807958,106.7206706
7556047353,10.7681721,106.7070764
7556047354,10.7685426,106.7071232
7556047355,10.7682712,106.70726
7556047356,10.7682422,106.7072439
7556047357,10.7681698,106.7070924
7556047358,10.7681777,106.7070387
7556047360,10.7687573,106.7067875
7556047361,10.7685042,106.7069111
7556047362,10.7682168,106.7070533
7556047363,10.7685871,106.7070954
7556047370,10.7685209,106.7056527
7556047371,10.7685242,106.7056192
8359649870,10.7643082,106.7089535
8359649871,10.7646817,106.7079923
8359649872,10.7647245,106.7080083
8359649873,10.7646402,106.7080057
8359649874,10.7639564,106.708581
12945859172,10.7787499,106.7122567
12945859173,10.7786814,106.7123671
6665151127,10.7680499,106.7128218
6665151128,10.7681798,106.7127276
