u,v,osmid,highway,length,geometry
6720471744,6720471740,715000330,residential,77.22144013019775,"LINESTRING (106.6789235 10.7917815, 106.6789279 10.7917622, 106.6789197 10.7917263, 106.6789624 10.7915865, 106.6789421 10.7915186, 106.6790844 10.7911213)"
6720471744,6720471741,715000331,service,36.719285531494,"LINESTRING (106.6789235 10.7917815, 106.678753 10.7917303, 106.6787347 10.7917802, 106.6786346 10.7917529)"
6720471746,6720471746,715000332,service,71.04124122655891,"LINESTRING (106.6784237 10.7917682, 106.6784847 10.7916265, 106.6783343 10.7915665, 106.6782693 10.7917203, 106.6784237 10.7917682)"
6720471746,6720471746,715000332,service,71.04124122655891,"LINESTRING (106.6784237 10.7917682, 106.6782693 10.7917203, 106.6783343 10.7915665, 106.6784847 10.7916265, 106.6784237 10.7917682)"
6720471746,411920622,715000332,service,24.794971014417712,"LINESTRING (106.6784237 10.7917682, 106.6784522 10.7918461, 106.6785697 10.7919257)"
6720471753,6720471752,715000333,service,15.168443059171326,"LINESTRING (106.6778681 10.7919946, 106.6780069 10.7919903)"
6720471753,710021192,715000333,service,26.27428958561382,"LINESTRING (106.6778681 10.7919946, 106.6778206 10.7919961, 106.6777933 10.7921838)"
6720471753,6720471756,715000334,service,23.272002311945542,"LINESTRING (106.6778681 10.7919946, 106.6778529 10.7919265, 106.6778221 10.7919053, 106.6777777 10.7918124)"
6720471756,6720471753,715000334,service,23.272002311945542,"LINESTRING (106.6777777 10.7918124, 106.6778221 10.7919053, 106.6778529 10.7919265, 106.6778681 10.7919946)"
6720471762,1672907079,1287266516,service,83.35191929435891,"LINESTRING (106.6772706 10.7913983, 106.6772246 10.7913845, 106.6770139 10.7913065, 106.6769821 10.7913977, 106.6770113 10.7914639, 106.6769006 10.791757)"
6720471762,6720471764,715000336,service,19.439666643200383,"LINESTRING (106.6772706 10.7913983, 106.6772968 10.791412, 106.6773253 10.7914998, 106.6773418 10.7915508)"
6720471762,6720471764,715000336,service,34.49981978712144,"LINESTRING (106.6772706 10.7913983, 106.6771997 10.7915254, 106.6772444 10.7915754, 106.6773418 10.7915508)"
6720471762,6720471627,715000338,service,16.191607634081436,"LINESTRING (106.6772706 10.7913983, 106.6772875 10.791362, 106.6773415 10.7913726, 106.677356 10.791323)"
6720471764,6720471762,715000336,service,34.49981978712144,"LINESTRING (106.6773418 10.7915508, 106.6772444 10.7915754, 106.6771997 10.7915254, 106.6772706 10.7913983)"
6720471764,6720471762,715000336,service,19.439666643200386,"LINESTRING (106.6773418 10.7915508, 106.6773253 10.7914998, 106.6772968 10.791412, 106.6772706 10.7913983)"
6720471764,6720471765,715000336,service,22.029225184390597,"LINESTRING (106.6773418 10.7915508, 106.6774123 10.791533, 106.677469 10.7916467)"
6720471765,6720471766,715000337,service,21.01014787387046,"LINESTRING (106.677469 10.7916467, 106.6776465 10.7915739)"
6720471765,6720471764,715000336,service,22.029225184390597,"LINESTRING (106.677469 10.7916467, 106.6774123 10.791533, 106.6773418 10.7915508)"
6720471765,710021197,715000335,service,48.85564260288639,"LINESTRING (106.677469 10.7916467, 106.6775232 10.7917555, 106.6775356 10.7918614, 106.6774579 10.7920588)"
6720471766,6720471765,715000337,service,21.01014787387046,"LINESTRING (106.6776465 10.7915739, 106.677469 10.7916467)"
6720471769,1672907079,154823448,tertiary,28.64936262942037,"LINESTRING (106.6771245 10.7918912, 106.6769006 10.791757)"
6720471769,710021197,154823448,tertiary,40.95177135399045,"LINESTRING (106.6771245 10.7918912, 106.6772085 10.7919402, 106.6773426 10.7920087, 106.6774579 10.7920588)"
6720471769,6720471771,715000339,service,36.165412707534415,"LINESTRING (106.6771245 10.7918912, 106.6771828 10.7917161, 106.6771042 10.7915981)"
6720471769,6720471777,715000340,service,25.287993344815842,"LINESTRING (106.6771245 10.7918912, 106.677115 10.7919628, 106.6770395 10.7920536, 106.6770104 10.7920786)"
